id;title;thumbnail_url;quote;content;created_by;last_modified_by
1;niches Small;Compatible Pa'anga hack;Tasty;../fake-data/blob/hipster.txt;system;system
2;internet solution;Cheese;Consultant analyzing;../fake-data/blob/hipster.txt;system;system
3;Grocery;world-class;Intuitive;../fake-data/blob/hipster.txt;system;system
4;Mobility bricks-and-clicks;North Korean Won;Directives synthesizing;../fake-data/blob/hipster.txt;system;system
5;Generic Cotton Keyboard bandwidth;Electronics invoice Tasty Rubber Sausages;Kids Security Quality;../fake-data/blob/hipster.txt;system;system
6;synergistic Home Loan Account;process improvement orange;pink;../fake-data/blob/hipster.txt;system;system
7;infomediaries infrastructures;payment integrate;back-end;../fake-data/blob/hipster.txt;system;system
8;Reverse-engineered Checking Account;CSS Aruban Guilder;users cross-platform contextually-based;../fake-data/blob/hipster.txt;system;system
9;architectures;Wooden copying payment;payment;../fake-data/blob/hipster.txt;system;system
10;Savings Account Bedfordshire withdrawal;withdrawal;Radial infomediaries magnetic;../fake-data/blob/hipster.txt;system;system
